cell_name	cell_type
BC02_93	Malignant
BC02_94	Malignant
BC02_95	Malignant
BC02_96	Malignant
BC05_01	Malignant
BC05_02	Malignant
BC05_04	Malignant
BC05_07	Malignant
BC05_08	Malignant
BC05_09	Malignant
BC05_12	Malignant
BC05_13	Malignant
BC05_16	Malignant
BC05_17	Malignant
BC05_18	Malignant
BC05_20	Malignant
BC05_21	Malignant
BC05_22	Malignant
BC05_23	Malignant
BC05_25	Malignant
BC05_26	Malignant
BC05_27	Malignant
BC05_28	Malignant
BC05_29	Malignant
BC05_30	Malignant
BC05_31	Malignant
BC05_32	Malignant
BC05_33	Malignant
BC05_34	Malignant
BC05_35	Malignant
BC05_36	Malignant
BC05_37	Malignant
BC05_38	Malignant
BC05_39	Malignant
BC05_41	Malignant
BC05_42	Malignant
BC05_43	Malignant
BC05_44	Malignant
BC05_45	Malignant
BC05_46	Malignant
BC05_47	Malignant
BC05_48	Malignant
BC05_49	Malignant
BC05_50	Malignant
BC05_52	Malignant
BC05_53	Malignant
BC05_55	Malignant
BC05_57	Malignant
BC05_59	Malignant
BC05_60	Malignant
BC05_61	Malignant
BC05_62	Malignant
BC05_63	Malignant
BC05_64	Malignant
BC05_68	Malignant
BC05_69	Malignant
BC05_70	Malignant
BC05_71	Malignant
BC05_72	Malignant
BC05_73	Malignant
BC05_74	Stromal
BC05_75	Malignant
BC05_77	Malignant
BC05_78	Malignant
BC05_79	Malignant
BC05_80	Malignant
BC05_81	Malignant
BC05_83	Malignant
BC05_84	Malignant
BC05_85	Malignant
BC05_86	Malignant
BC05_87	Malignant
BC05_88	Malignant
BC05_90	Malignant
BC05_91	Malignant
BC05_92	Malignant
BC05_93	Malignant
BC05_94	Malignant
BC05_95	Malignant
BC05_96	Malignant
BC11_01	Malignant
BC11_04	Malignant
BC11_07	Malignant
BC11_28	Malignant
BC11_43	Malignant
BC11_56	Malignant
BC11_69	Malignant
BC11_70	Malignant
BC11_78	Malignant
BC11_81	Malignant
BC11_88	Malignant
BC06_04	B_cell
BC06_08	Stromal
BC06_10	Malignant
BC06_21	B_cell
BC06_23	Malignant
BC06_25	B_cell
BC06_26	B_cell
BC06_27	Malignant
BC06_28	Malignant
BC06_29	B_cell
BC06_32	Malignant
BC06_39	Malignant
BC06_40	B_cell
BC06_43	Stromal
BC06_58	B_cell
BC06_60	Malignant
BC06_61	B_cell
BC06_74	Malignant

