Gene,BC01_02,BC01_03,BC01_04,BC01_05,BC01_06,BC01_08,BC01_10,BC01_12,BC01_33,BC01_34
C19orf60,3.538849969,3.630402889,4.471951129,3.960748578,3.377045116,3.434959968,0,2.945438459,3.606303599,0
CRLF1,0,0,0,0,0,0,0,0,0,0
OSBPL7,0,0,0,0,0,0,1.649027097,0,0,0
TMEM98,0,0,0.270156651,0,0,0,0,0,0,0
YBX2,0,0,0,0,0,0,0,0,0,0
MAP3K14,0,0,0,0,2.250263864,0.457060505,0,0,0,3.792020363
ABCC8,0,0,0,0,0,0,0,0,0,0
CCL18,0,0,0,0,0,0,0,0,0,0
CCL3,0,0,0,0,0,0,0,0,0,0
SYNRG,0.82429813,0,2.863288091,0,3.186682742,0,0.673167936,1.156462854,0.067621537,0
TMEM132A,0,0,0,0,0,0,0,0,0,0
AP2B1,1.252919063,2.987880993,1.35107264,3.016203408,3.121754806,2.526413871,2.391010387,0.875112773,4.043370603,3.835068965
TAC1,0,0,0,0,0,0,0,0,0,0
ZNF263,0,0,3.96969605,0,4.520370105,1.647856801,0,2.768259669,3.687575951,0
CX3CL1,0,0,0,0,0,0,0,2.209926439,3.154753614,0.879841477
SPATA20,2.995939875,1.174971572,0,2.146356376,0,2.775400727,2.367849504,0,0.609506571,0
TNFRSF12A,2.251487324,4.839536766,5.25119339,4.638254306,4.677103739,4.78833883,5.073499881,5.252712891,4.044946908,3.086836873
MAP3K9,0,0,0,0.769655994,1.841564955,1.434328173,0.425425783,1.370725355,0,2.298907222
RALA,2.936189197,4.595166801,2.890888553,4.000122389,4.744823204,3.981693526,3.879119778,4.16513373,4.657010829,2.892938166
BAIAP2L1,1.408710071,1.489979989,2.563144007,0.630877623,1.290107124,2.247240963,2.676640271,0,3.597308175,2.835908979
JHDM1D,0,0,0.95584821,4.201322446,1.87282339,2.143884485,0,0.190514466,0,0
ETV1,0,0,0,0,0,0,0,0,0,0
AGK,3.230223452,4.461247336,4.380314433,0,4.83771718,0,3.147171722,0.156915096,4.805996024,2.203091204
ALDH3B1,0,0,0,0,0,0,0,0,0,0
TTC22,0,0,0,0,0,0,0,0,0,0
PHTF2,0.593424645,2.08986586,4.758691242,3.883415707,2.812342544,3.001764377,3.953228424,0.095254713,3.301566891,0
CCL26,0,0,0,0,0,0,0,0,0,0
FARP2,3.160608155,1.036175149,0,0,0,0,0,0,1.263719626,0
USH1C,0,0,0,0,0,0,0,0,0,0
GGCT,6.268006723,6.707971365,5.666971982,6.292726456,6.151167108,5.060151742,5.665669485,5.891698359,6.119225623,5.309474104
DBF4,1.834363806,4.46711442,0,4.096013207,0,0,2.882994222,3.780634329,4.292772354,2.287801195
TBXA2R,0,0,0,0,0,0,0,0,0,0
IFRD1,4.144777341,4.324200387,5.387513747,5.350688076,5.767678544,5.043405963,4.098120959,5.035891617,5.358047772,2.84234377
COX10,3.735260445,3.892191274,0,2.660873757,1.482537177,2.89828324,0,3.543549994,4.04407149,4.486186285
GTF2IRD1,3.926928774,0,3.864418336,3.916582995,2.447787788,3.69165435,0,0.076915846,4.754147719,0
PAF1,0,0.966444414,2.510914687,0,0,3.43656841,0,2.124116517,2.724049299,0.892214641
VPS41,3.160183973,3.752411612,4.250747445,3.45107495,5.24294741,3.964968841,4.177141486,0,2.077694372,3.415126427
ARHGAP44,0,0,0,0,0,0,0,0,0,0
ELAC2,0.609865339,3.800910543,1.022801319,0,0,0,3.301079499,0.095254713,0,1.535002276
SCIN,0,0.343336654,0,0,0,0,0,0,0,0
